Source,Relation,Target
F2,involved_in(DrugBank),Lepirudin Action Pathway
KLKB1,involved_in(DrugBank),Lepirudin Action Pathway
F11,involved_in(DrugBank),Lepirudin Action Pathway
F9,involved_in(DrugBank),Lepirudin Action Pathway
F5,involved_in(DrugBank),Lepirudin Action Pathway
FGG,involved_in(DrugBank),Lepirudin Action Pathway
F3,involved_in(DrugBank),Lepirudin Action Pathway
EGFR,involved_in(DrugBank),Cetuximab Action Pathway
F2,involved_in(DrugBank),Bivalirudin Action Pathway
KLKB1,involved_in(DrugBank),Bivalirudin Action Pathway
F11,involved_in(DrugBank),Bivalirudin Action Pathway
F9,involved_in(DrugBank),Bivalirudin Action Pathway
F5,involved_in(DrugBank),Bivalirudin Action Pathway
FGG,involved_in(DrugBank),Bivalirudin Action Pathway
F3,involved_in(DrugBank),Bivalirudin Action Pathway
KLKB1,involved_in(DrugBank),Alteplase Action Pathway
F11,involved_in(DrugBank),Alteplase Action Pathway
F9,involved_in(DrugBank),Alteplase Action Pathway
F2,involved_in(DrugBank),Alteplase Action Pathway
F5,involved_in(DrugBank),Alteplase Action Pathway
FGG,involved_in(DrugBank),Alteplase Action Pathway
F3,involved_in(DrugBank),Alteplase Action Pathway
KLKB1,involved_in(DrugBank),Urokinase Action Pathway
F11,involved_in(DrugBank),Urokinase Action Pathway
F9,involved_in(DrugBank),Urokinase Action Pathway
F2,involved_in(DrugBank),Urokinase Action Pathway
F5,involved_in(DrugBank),Urokinase Action Pathway
FGG,involved_in(DrugBank),Urokinase Action Pathway
F3,involved_in(DrugBank),Urokinase Action Pathway
KLKB1,involved_in(DrugBank),Reteplase Action Pathway
F11,involved_in(DrugBank),Reteplase Action Pathway
F9,involved_in(DrugBank),Reteplase Action Pathway
F2,involved_in(DrugBank),Reteplase Action Pathway
F5,involved_in(DrugBank),Reteplase Action Pathway
FGG,involved_in(DrugBank),Reteplase Action Pathway
F3,involved_in(DrugBank),Reteplase Action Pathway
KLKB1,involved_in(DrugBank),Anistreplase Action Pathway
F11,involved_in(DrugBank),Anistreplase Action Pathway
F9,involved_in(DrugBank),Anistreplase Action Pathway
F2,involved_in(DrugBank),Anistreplase Action Pathway
F5,involved_in(DrugBank),Anistreplase Action Pathway
FGG,involved_in(DrugBank),Anistreplase Action Pathway
F3,involved_in(DrugBank),Anistreplase Action Pathway
KLKB1,involved_in(DrugBank),Tenecteplase Action Pathway
F11,involved_in(DrugBank),Tenecteplase Action Pathway
F9,involved_in(DrugBank),Tenecteplase Action Pathway
F2,involved_in(DrugBank),Tenecteplase Action Pathway
F5,involved_in(DrugBank),Tenecteplase Action Pathway
FGG,involved_in(DrugBank),Tenecteplase Action Pathway
F3,involved_in(DrugBank),Tenecteplase Action Pathway
EGFR,involved_in(DrugBank),Trastuzumab Action Pathway
KLKB1,involved_in(DrugBank),Streptokinase Action Pathway
F11,involved_in(DrugBank),Streptokinase Action Pathway
F9,involved_in(DrugBank),Streptokinase Action Pathway
F2,involved_in(DrugBank),Streptokinase Action Pathway
F5,involved_in(DrugBank),Streptokinase Action Pathway
FGG,involved_in(DrugBank),Streptokinase Action Pathway
F3,involved_in(DrugBank),Streptokinase Action Pathway
FLT1,involved_in(DrugBank),Bevacizumab Action Pathway
SLC1A5,involved_in(DrugBank),Carbamoyl Phosphate Synthetase Deficiency
ARG1,involved_in(DrugBank),Carbamoyl Phosphate Synthetase Deficiency
ASS1,involved_in(DrugBank),Carbamoyl Phosphate Synthetase Deficiency
SLC1A5,involved_in(DrugBank),Argininosuccinic Aciduria
ARG1,involved_in(DrugBank),Argininosuccinic Aciduria
ASS1,involved_in(DrugBank),Argininosuccinic Aciduria
PHGDH,involved_in(DrugBank),Glycine and Serine Metabolism
SDS,involved_in(DrugBank),Glycine and Serine Metabolism
TAT,involved_in(DrugBank),Tyrosine Metabolism
TYR,involved_in(DrugBank),Tyrosine Metabolism
SDS,involved_in(DrugBank),Ammonia Recycling
TH,involved_in(DrugBank),Catecholamine Biosynthesis
ASS1,involved_in(DrugBank),Arginine and Proline Metabolism
CKB,involved_in(DrugBank),Arginine and Proline Metabolism
ARG1,involved_in(DrugBank),Arginine and Proline Metabolism
HMBS,involved_in(DrugBank),Porphyrin Metabolism
CNDP1,involved_in(DrugBank),Histidine Metabolism
SI,involved_in(DrugBank),Starch and Sucrose Metabolism
UGDH,involved_in(DrugBank),Starch and Sucrose Metabolism
CAD,involved_in(DrugBank),Glutamate Metabolism
ASS1,involved_in(DrugBank),Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency)
CKB,involved_in(DrugBank),Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency)
ARG1,involved_in(DrugBank),Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency)
CNDP1,involved_in(DrugBank),Histidinemia
TAT,involved_in(DrugBank),Tyrosinemia Type I
TYR,involved_in(DrugBank),Tyrosinemia Type I
CAD,involved_in(DrugBank),Hyperinsulinism-Hyperammonemia Syndrome
SPTLC1,involved_in(DrugBank),Globoid Cell Leukodystrophy
SPHK2,involved_in(DrugBank),Globoid Cell Leukodystrophy
UGCG,involved_in(DrugBank),Globoid Cell Leukodystrophy
ASS1,involved_in(DrugBank),Hyperprolinemia Type II
CKB,involved_in(DrugBank),Hyperprolinemia Type II
ARG1,involved_in(DrugBank),Hyperprolinemia Type II
ASS1,involved_in(DrugBank),Hyperprolinemia Type I
CKB,involved_in(DrugBank),Hyperprolinemia Type I
ARG1,involved_in(DrugBank),Hyperprolinemia Type I
TAT,involved_in(DrugBank),Tyrosinemia Type 3 (TYRO3)
TAT,involved_in(DrugBank),Disulfiram Action Pathway
TYR,involved_in(DrugBank),Disulfiram Action Pathway
CAT,involved_in(DrugBank),Disulfiram Action Pathway
HPRT1,involved_in(DrugBank),Adenosine Deaminase Deficiency
GART,involved_in(DrugBank),Adenosine Deaminase Deficiency
PAICS,involved_in(DrugBank),Adenosine Deaminase Deficiency
ADA,involved_in(DrugBank),Adenosine Deaminase Deficiency
TXN,involved_in(DrugBank),Adenosine Deaminase Deficiency
HPRT1,involved_in(DrugBank),AICA-Ribosiduria
GART,involved_in(DrugBank),AICA-Ribosiduria
PAICS,involved_in(DrugBank),AICA-Ribosiduria
ADA,involved_in(DrugBank),AICA-Ribosiduria
TXN,involved_in(DrugBank),AICA-Ribosiduria
HPRT1,involved_in(DrugBank),Molybdenum Cofactor Deficiency
GART,involved_in(DrugBank),Molybdenum Cofactor Deficiency
PAICS,involved_in(DrugBank),Molybdenum Cofactor Deficiency
ADA,involved_in(DrugBank),Molybdenum Cofactor Deficiency
TXN,involved_in(DrugBank),Molybdenum Cofactor Deficiency
PHGDH,involved_in(DrugBank),Non-Ketotic Hyperglycinemia
SDS,involved_in(DrugBank),Non-Ketotic Hyperglycinemia
PHGDH,involved_in(DrugBank),Sarcosinemia
SDS,involved_in(DrugBank),Sarcosinemia
HPRT1,involved_in(DrugBank),Azathioprine Action Pathway
RAC1,involved_in(DrugBank),Azathioprine Action Pathway
GART,involved_in(DrugBank),Azathioprine Action Pathway
PAICS,involved_in(DrugBank),Azathioprine Action Pathway
ADA,involved_in(DrugBank),Azathioprine Action Pathway
TXN,involved_in(DrugBank),Azathioprine Action Pathway
HPRT1,involved_in(DrugBank),Thioguanine Action Pathway
RAC1,involved_in(DrugBank),Thioguanine Action Pathway
GART,involved_in(DrugBank),Thioguanine Action Pathway
PAICS,involved_in(DrugBank),Thioguanine Action Pathway
ADA,involved_in(DrugBank),Thioguanine Action Pathway
TXN,involved_in(DrugBank),Thioguanine Action Pathway
HPRT1,involved_in(DrugBank),Xanthinuria Type II
GART,involved_in(DrugBank),Xanthinuria Type II
PAICS,involved_in(DrugBank),Xanthinuria Type II
ADA,involved_in(DrugBank),Xanthinuria Type II
TXN,involved_in(DrugBank),Xanthinuria Type II
HPRT1,involved_in(DrugBank),Purine Metabolism
GART,involved_in(DrugBank),Purine Metabolism
PAICS,involved_in(DrugBank),Purine Metabolism
ADA,involved_in(DrugBank),Purine Metabolism
TXN,involved_in(DrugBank),Purine Metabolism
HPRT1,involved_in(DrugBank),Purine Nucleoside Phosphorylase Deficiency
GART,involved_in(DrugBank),Purine Nucleoside Phosphorylase Deficiency
PAICS,involved_in(DrugBank),Purine Nucleoside Phosphorylase Deficiency
ADA,involved_in(DrugBank),Purine Nucleoside Phosphorylase Deficiency
TXN,involved_in(DrugBank),Purine Nucleoside Phosphorylase Deficiency
HPRT1,involved_in(DrugBank),Lesch-Nyhan Syndrome (LNS)
GART,involved_in(DrugBank),Lesch-Nyhan Syndrome (LNS)
PAICS,involved_in(DrugBank),Lesch-Nyhan Syndrome (LNS)
ADA,involved_in(DrugBank),Lesch-Nyhan Syndrome (LNS)
TXN,involved_in(DrugBank),Lesch-Nyhan Syndrome (LNS)
HPRT1,involved_in(DrugBank),Gout or Kelley-Seegmiller Syndrome
GART,involved_in(DrugBank),Gout or Kelley-Seegmiller Syndrome
PAICS,involved_in(DrugBank),Gout or Kelley-Seegmiller Syndrome
ADA,involved_in(DrugBank),Gout or Kelley-Seegmiller Syndrome
TXN,involved_in(DrugBank),Gout or Kelley-Seegmiller Syndrome
HPRT1,involved_in(DrugBank),Mercaptopurine Action Pathway
RAC1,involved_in(DrugBank),Mercaptopurine Action Pathway
GART,involved_in(DrugBank),Mercaptopurine Action Pathway
PAICS,involved_in(DrugBank),Mercaptopurine Action Pathway
ADA,involved_in(DrugBank),Mercaptopurine Action Pathway
TXN,involved_in(DrugBank),Mercaptopurine Action Pathway
HPRT1,involved_in(DrugBank),Adenine Phosphoribosyltransferase Deficiency (APRT)
GART,involved_in(DrugBank),Adenine Phosphoribosyltransferase Deficiency (APRT)
PAICS,involved_in(DrugBank),Adenine Phosphoribosyltransferase Deficiency (APRT)
ADA,involved_in(DrugBank),Adenine Phosphoribosyltransferase Deficiency (APRT)
TXN,involved_in(DrugBank),Adenine Phosphoribosyltransferase Deficiency (APRT)
HPRT1,involved_in(DrugBank),Adenylosuccinate Lyase Deficiency
GART,involved_in(DrugBank),Adenylosuccinate Lyase Deficiency
PAICS,involved_in(DrugBank),Adenylosuccinate Lyase Deficiency
ADA,involved_in(DrugBank),Adenylosuccinate Lyase Deficiency
TXN,involved_in(DrugBank),Adenylosuccinate Lyase Deficiency
PHGDH,involved_in(DrugBank),Dihydropyrimidine Dehydrogenase Deficiency (DHPD)
SDS,involved_in(DrugBank),Dihydropyrimidine Dehydrogenase Deficiency (DHPD)
CNDP1,involved_in(DrugBank),"Carnosinuria, Carnosinemia"
CNDP1,involved_in(DrugBank),beta-Alanine Metabolism
HSPA5,involved_in(DrugBank),Phenytoin (Antiarrhythmic) Action Pathway
PPIB,involved_in(DrugBank),Phenytoin (Antiarrhythmic) Action Pathway
SDF2L1,involved_in(DrugBank),Phenytoin (Antiarrhythmic) Action Pathway
ATP1A1,involved_in(DrugBank),Phenytoin (Antiarrhythmic) Action Pathway
ATP2A2,involved_in(DrugBank),Phenytoin (Antiarrhythmic) Action Pathway
PLN,involved_in(DrugBank),Phenytoin (Antiarrhythmic) Action Pathway
PRKACA,involved_in(DrugBank),Phenytoin (Antiarrhythmic) Action Pathway
ASS1,involved_in(DrugBank),L-Arginine:Glycine Amidinotransferase Deficiency
CKB,involved_in(DrugBank),L-Arginine:Glycine Amidinotransferase Deficiency
ARG1,involved_in(DrugBank),L-Arginine:Glycine Amidinotransferase Deficiency
ALDOA,involved_in(DrugBank),Glycolysis
TPI1,involved_in(DrugBank),Glycolysis
GAPDH,involved_in(DrugBank),Glycolysis
PC,involved_in(DrugBank),Alanine Metabolism
PHGDH,involved_in(DrugBank),Dimethylglycine Dehydrogenase Deficiency
