PMCID,Ebola Protein,Interaction,Host Protein
PMC9042921,VP35,phosphorylate,CREB1
PMC9042921,VP35,express,CREB1
PMC9042921,VP35,mediate,CREB1
PMC9042921,VP35,regulate,CREB1
PMC9042921,VP35,activate,CREB1
PMC9042921,VP35,phosphorylate,CREB1
PMC9042921,VP35,express,CREB1
PMC9042921,VP35,mediate,CREB1
PMC9042921,VP35,regulate,CREB1
PMC9042921,VP35,interact,AKIP1
PMC9042921,VP35,activate,AKIP1
PMC9042921,VP35,phosphorylate,AKIP1
PMC9042921,VP35,interact,PRKACA
PMC9042921,VP35,activate,PRKACA
PMC9042921,VP35,phosphorylate,PRKACA
PMC9042921,VP35,interact,CREB1
PMC9042921,VP35,activate,CREB1
PMC9042921,VP35,phosphorylate,CREB1
PMC9042921,VP35,interact,AKIP1
PMC9042921,VP35,activate,AKIP1
PMC9042921,VP35,express,AKIP1
PMC9042921,VP35,control,AKIP1
PMC9042921,VP35,express,AKIP1
PMC9042921,VP35,control,AKIP1
PMC9042921,VP35,express,AKIP1
PMC9042921,VP35,control,AKIP1
PMC9042921,VP35,activate,AKIP1
PMC9042921,VP35,express,AKIP1
PMC9042921,VP35,regulate,AKIP1
PMC9042921,L,interact,CREB1
PMC9042921,L,activate,CREB1
PMC9042921,L,interact,CREB1
PMC9042921,L,promote,CREB1
PMC9042921,L,interact,CREB1
PMC9042921,L,promote,CREB1
PMC9042921,VP35,activate,CREB1
PMC9042921,VP35,phosphorylate,CREB1
PMC9042921,VP35,aggregate,CREB1
PMC9042921,VP35,involve,CREB1
PMC9042921,VP35,activate,VASP
PMC9042921,VP35,phosphorylate,VASP
PMC9042921,VP35,aggregate,VASP
PMC9042921,VP35,involve,VASP
PMC9042921,VP35,signal,CREB1
PMC9042921,VP35,target,CREB1
PMC9042921,VP35,activate,AKIP1
PMC9042921,VP35,express,AKIP1
PMC9042921,VP35,inhibit,AKIP1
PMC9042921,VP35,suppress,AKIP1
PMC9042921,VP35,inhibit,CREB1
PMC9042921,VP35,suppress,CREB1
PMC9042921,VP35,interact,CREB1
PMC9042921,VP35,regulate,CREB1
PMC9042921,VP35,interact,AKIP1
PMC9042921,VP35,regulate,AKIP1
PMC9042921,VP35,bind,AKIP1
PMC9042921,VP35,activate,AKIP1
PMC9042921,VP35,bind,CREB1
PMC9042921,VP35,activate,CREB1
PMC9042921,VP35,express,G3BP1
PMC9042921,VP35,associate,AKIP1
PMC9042921,VP30,express,AKIP1
PMC4333865,GP,bind,EMILIN1
