DrugBankID,Name,Type,Groups,Targets,Pathways,Synonyms
DB17167,Phenylacetylglutamine,small molecule,investigational,,,"Antineoplaston as 2-1 component phenylacetylglutamine|Antineoplaston as2-1 component phenylacetylglutamine|Astugenal component phenylacetylglutamine|L-glutamine, n2-(phenylacetyl)-|Phenylacetyl-l-glutamine"
DB17168,TPI-287,small molecule,investigational,,,"(2'R,3'S)-2'-hydroxy-N-carboxy-3'-amino-5'-methyl-hexanoic,N-tert-butyl ester, 13 ester 5B-20-epoxy-1B,2a,4a,7B,9a,10a,13a-heptahydroxy-4,10-diacetate-2-benzoate-(1""S)-7,9-acrolein acetal-11(15-1)-abeotaxane|TPI-287"
DB17169,MTI-201,biotech,investigational,,,MTI 201|MTI201
DB17170,WSD-0922,small molecule,investigational,,,"(r)-6-((3,3-difluoro-1-methylpiperidin-4-yl)oxy)-n-(3-ethynyl-2-fluorophenyl)-7-methoxyquinazolin-4-amine-"
DB17171,Ziftomenib,small molecule,investigational,,,"(s)-4-methyl-5-((4-((2-(methylamino)-6-(2,2,2-trifluoroethyl)thieno(2,3-d)pyrimidin-4-yl)amino)piperidin-1-yl)methyl)-1-(2-(4-(methylsulfonyl)piperazin-1-yl)propyl)-1h-indole-2-carbonitrile|1h-indole-2-carbonitrile, 4-methyl-5-((4-((2-(methylamino)-6-(2,2,2-trifluoroethyl)thieno(2,3-d)pyrimidin-4-yl)amino)-1-piperidinyl)methyl)-1-((2s)-2-(4-(methylsulfonyl)-1-piperazinyl)propyl)-|Menin-mll interaction inhibitor ko 539"
DB17172,Activated natural killer cell therapy,biotech,investigational,,,activated natural killer[aNK]|aNK cells|Neukoplast|NK-92 cells
DB17173,ONCOS‐102,biotech,investigational,,,Ad5/3-D24-granulocyte-macrophage colony stimulating factor (GMCSF)-encoding oncolytic adenovirus
DB17174,Diaziquone,small molecule,investigational,,,"Aziridinyl benzoquinone|AZQ|Carbamic acid, (2,5-bis(1-aziridinyl)-3,6-dioxo-1,4-cyclohexadiene-1,4-diyl)bis-, diethyl ester|Diaziquone|Diethyl 2,5-bis-(1-aziridinyl)-3,6-dioxo-1,4-cyclohexadiene-1,4-dicarbamate|NSC-182986"
DB17175,Adenovirus/PNP,biotech,investigational,,,Ad/PNP|Ad/PNP/F-araAMP|adenoviral vector expressing the E.coli purine nucleoside phosphorylase gene
DB17176,L-Leucyl-L-prolyl-L-prolyl-L-seryl-L-arginine,biotech,investigational,,,"H-Leu-Pro-Pro-Ser-Arg-OH|L-arginine, l-leucyl-l-prolyl-l-prolyl-l-seryl-|L-Leucyl-L-prolyl-L-prolyl-L-seryl-L-arginine|Lymphocyte Activating Pentapeptide"
DB17177,Ad-RTS-hIL-12,biotech,investigational,,,Adenoviral vector-RheoSwitch Therapeutic System-human interleukin 12
DB17178,Tasadenoturev,biotech,investigational,,,"Ad5-DNX-2401|adenovirus delta 24-RGD, an oncolytic adenovirus genetically modified for treatment of glioma|Delta-24-RGD|Delta-24-RGD-4C|Delta24-RGD|Tumor-selective delta-24 ,rgd modified adenovirus serotype 5"
DB17179,Olafertinib,small molecule,investigational,,,"N-(3-(2-(2,3-difluoro-4-(4-(2-hydroxyethyl)piperazin-1-yl)phenylamino)quinazolin-8-yl)phenyl)acrylamide"
DB17180,KX-2361,small molecule,investigational,,,"2-pyridineacetamide, n-((3-fluorophenyl)methyl)-5-(4-(4-morpholinyl)phenyl)-|N-(3-fluorobenzyl)-2-(5-(4-morpholinophenyl) pyridin-2-yl) acetamide"
DB17181,Ad-ISF35,biotech,investigational,,,Ad-CD154|Ad-CD40L ISF35|Ad-ISF35 transduced CLL B-cells|Adenovirus encoding the recombinant CD40 ligand|Adenovirus-CD 154|Immune Stimulatory Factor 35|rAd.CD40L
DB17182,ETBX-041,biotech,investigational,,,"Ad5 [E1-, E2b-]-E6/E7|Ad5 [E1-, E2b-]-E6∆/E7∆|Non-oncogenic HPV 16 E6/E7"
DB17183,Ad-SGE-REIC,biotech,investigational,,,Ad5-SGE-REIC/Dkk-3|adenovirus vaccine encoding reduced expression in immortalized cell protein|REIC/Dkk-3 gene therapy
DB17184,Algenpantucel-L,biotech,investigational,,,"Alpha (1,3) galactosyltransferase tumor vaccine|Alpha-1,3-galactosyltransferase-expressing allogeneic pancreatic tumor cell vaccine|Hyperacute pancreatic cancer vaccine|Hyperacute-pancreas immunotherapy"
