DrugBankID,Name,Type,Groups,Targets,Pathways,Synonyms
,Lepirudin,,,,,
,Phylloquinone,,,,,
,Calcium,,,,,
DB00001,Lepirudin,biotech,approved|withdrawn,Prothrombin,Lepirudin Action Pathway,"[Leu1, Thr2]-63-desulfohirudin|Desulfatohirudin|Hirudin variant-1|Lepirudin|Lepirudin recombinant|R-hirudin"
,Cetuximab,,,,,
DB00002,Cetuximab,biotech,approved,Complement C1q subcomponent subunit A|Complement C1q subcomponent subunit B|Complement C1q subcomponent subunit C|Epidermal growth factor receptor|High affinity immunoglobulin gamma Fc receptor I|Low affinity immunoglobulin gamma Fc region receptor II-a|Low affinity immunoglobulin gamma Fc region receptor III-A|Low affinity immunoglobulin gamma Fc region receptor III-B,Cetuximab Action Pathway,Cetuximab|Cétuximab|Cetuximabum
DB00003,Dornase alfa,biotech,approved,DNA,,"Deoxyribonuclease (human clone 18-1 protein moiety)|Dornasa alfa|Dornase alfa|Dornase alfa, recombinant|Dornase alpha|Recombinant deoxyribonuclease (DNAse)"
DB00004,Denileukin diftitox,biotech,approved|investigational,Cytokine receptor common subunit gamma|Interleukin-2 receptor subunit alpha|Interleukin-2 receptor subunit beta,,Denileukin|Denileukin diftitox|Interleukin-2/diptheria toxin fusion protein
DB00005,Etanercept,biotech,approved|investigational,Complement component 1q (C1q)|High affinity immunoglobulin gamma Fc receptor I|Low affinity immunoglobulin gamma Fc region receptor II-a|Low affinity immunoglobulin gamma Fc region receptor II-b|Low affinity immunoglobulin gamma Fc region receptor II-c|Low affinity immunoglobulin gamma Fc region receptor III-A|Low affinity immunoglobulin gamma Fc region receptor III-B|Lymphotoxin-alpha|Tumor necrosis factor,,Etanercept|etanercept-szzs|etanercept-ykro|Recombinant human TNF|rhu TNFR:Fc|rhu-TNFR:Fc|TNFR-Immunoadhesin
,Bivalirudin,,,,,
,Phylloquinone,,,,,
,Calcium,,,,,
DB00006,Bivalirudin,small molecule,approved|investigational,Prothrombin,Bivalirudin Action Pathway,Bivalirudin|Bivalirudina|Bivalirudinum
DB00007,Leuprolide,small molecule,approved|investigational,Gonadotropin-releasing hormone receptor,,Leuprorelin|Leuprorelina|Leuproreline|Leuprorelinum
DB00008,Peginterferon alfa-2a,biotech,approved|investigational,Interferon alpha/beta receptor 1|Interferon alpha/beta receptor 2,,PEG-IFN alfa-2A|PEG-Interferon alfa-2A|Peginterferon alfa-2a|Pegylated Interfeaon alfa-2A|Pegylated interferon alfa-2a|Pegylated interferon alpha-2a|Pegylated-interferon alfa 2a
,Alteplase,,,,,
,Phylloquinone,,,,,
,Calcium,,,,,
DB00009,Alteplase,biotech,approved|investigational,Fibrinogen alpha chain|Fibrinogen gamma chain|Plasminogen|Plasminogen activator inhibitor 1,Alteplase Action Pathway,"Alteplasa|Alteplase|Alteplase (genetical recombination)|Alteplase, recombinant|Alteplase,recombinant|Plasminogen activator (human tissue-type protein moiety)|rt-PA|t-PA|t-plasminogen activator|Tissue plasminogen activator|Tissue plasminogen activator alteplase|Tissue plasminogen activator, recombinant|tPA"
DB00010,Sermorelin,biotech,approved|withdrawn,Growth hormone-releasing hormone receptor,,Sermorelin
DB00011,Interferon alfa-n1,biotech,approved|investigational,Interferon alpha/beta receptor 1|Interferon alpha/beta receptor 2,,Interferon alfa-n1|Interferon alpha-n1 (INS)|WELL-FERON|WELLFERON
DB00012,Darbepoetin alfa,biotech,approved|investigational,Erythropoietin receptor,,"Darbepoetin|Darbepoetin alfa|Darbepoetin alfa,recombinant|Darbepoetina alfa"
,Urokinase,,,,,
,Phylloquinone,,,,,
,Calcium,,,,,
DB00013,Urokinase,biotech,approved|investigational|withdrawn,Low-density lipoprotein receptor-related protein 2|Nidogen-1|Plasma serine protease inhibitor|Plasminogen|Plasminogen activator inhibitor 1|Plasminogen activator inhibitor 2|Suppressor of tumorigenicity 14 protein|Urokinase plasminogen activator surface receptor,Urokinase Action Pathway,"Kinase (enzyme-activating), uro-urokinase|TCUK|Tissue culture urokinase|Two-chain urokinase|Urochinasi|Urokinase|Urokinasum|Uroquinasa"
DB00014,Goserelin,small molecule,approved,Gonadotropin-releasing hormone receptor|Lutropin-choriogonadotropic hormone receptor,,Goserelin|Goserelina
,Reteplase,,,,,
,Phylloquinone,,,,,
,Calcium,,,,,
DB00015,Reteplase,biotech,approved|investigational,Fibrinogen alpha chain|Plasminogen|Plasminogen activator inhibitor 1,Reteplase Action Pathway,"Human t-PA (residues 1-3 and 176-527)|Reteplasa|Reteplase|Reteplase, recombinant|Reteplase,recombinant"
DB00016,Erythropoietin,biotech,approved,Erythropoietin receptor,,"E.P.O.|Epoetin alfa|Epoetin alfa rDNA|Epoetin alfa-epbx|Epoetin alfa, recombinant|Epoetin beta|Epoetin beta rDNA|Epoetin epsilon|Epoetin gamma|Epoetin gamma rDNA|Epoetin kappa|Epoetin omega|Epoetin theta|Epoetin zeta|Epoetina alfa|Epoetina beta|Epoetina dseta|Epoetina zeta|Epoétine zêta|Epoetinum zeta|Erythropoiesis stimulating factor|Erythropoietin (human, recombinant)|Erythropoietin (recombinant human)|ESF|SH-polypeptide-72"
DB00017,Salmon calcitonin,biotech,approved|investigational,Calcitonin receptor,,"Calcitonin (Salmon Synthetic)|Calcitonin salmon|Calcitonin salmon recombinant|Calcitonin-salmon|Calcitonin, salmon|Calcitonina salmón sintética|Recombinant salmon calcitonin|Salmon calcitonin"
DB00018,Interferon alfa-n3,biotech,approved|investigational,Interferon alpha/beta receptor 1|Interferon alpha/beta receptor 2,,Interferon alfa-n3
DB00019,Pegfilgrastim,biotech,approved,Granulocyte colony-stimulating factor receptor,,Granulocyte colony-stimulating factor pegfilgrastim|peg-filgrastim|Pegfilgrastim|pegfilgrastim-apgf|pegfilgrastim-bmez|pegfilgrastim-cbqv|pegfilgrastim-jmdb
DB00020,Sargramostim,biotech,approved|investigational,Bone marrow proteoglycan|Cytokine receptor common subunit beta|Granulocyte-macrophage colony-stimulating factor receptor subunit alpha|Interleukin-3 receptor subunit alpha|Syndecan-2,,Recombinant human granulocyte-macrophage colony stimulating factor|rGM-CSF|rHu GM-CSF|Sargramostim
DB00022,Peginterferon alfa-2b,biotech,approved,Interferon alpha/beta receptor 1|Interferon alpha/beta receptor 2,,Peginterferon alfa-2b
DB00023,Asparaginase Escherichia coli,biotech,approved|investigational,L-asparagine,,Asparaginase|Asparaginase (E. coli)|Colaspase|Escherichia coli L-asparaginase|L-asparaginase|L-asparagine amidohydrolase
DB00024,Thyrotropin alfa,biotech,approved|vet_approved,Thyrotropin receptor,,Recombinant Human Thyroid Stimulating Hormone|Recombinant thyrotropin alfa|rhTSH|rTSH|Thyrotropin alfa|Thyrotropin alpha
DB00025,"Antihemophilic factor, human recombinant",biotech,approved|investigational,"78 kDa glucose-regulated protein|Asialoglycoprotein receptor 2|Calnexin|Calreticulin|Coagulation factor IX|Coagulation factor X|Multiple coagulation factor deficiency protein 2|Phytanoyl-CoA dioxygenase, peroxisomal|Prolow-density lipoprotein receptor-related protein 1|Protein ERGIC-53|von Willebrand factor",,"Antihemophilic factor (recombinant)|Antihemophilic factor recombinant|Antihemophilic factor, human recombinant|Antihemophilic factor, recombinant|Coagulation factor VIII, recombinant|Factor VIII (rDNA)|Factor VIII (Recombinant)|Factor VIII recombin|Factor VIII, recombinant|Human Factor VIII (Recombinant)|Human factor VIII recombinant|Octocog alfa|rAHF|Recombinant antihemophilic factor VIII"
DB00026,Anakinra,biotech,approved|investigational,Interleukin-1 receptor type 1,,Anakinra|IL-1RA|Interleukin-1 receptor antagonist anakinra
DB00027,Gramicidin D,small molecule,approved,,,Bacillus brevis gramicidin D|Gramicidin|Gramicidin A|Gramicidin B|Gramicidin C|Gramicidina|Gramicidine
DB00028,Human immunoglobulin G,biotech,approved|investigational,Complement C3|Complement C4-A|Complement C4-B|Complement C5|High affinity immunoglobulin gamma Fc receptor I|High affinity immunoglobulin gamma Fc receptor IB|Low affinity immunoglobulin gamma Fc region receptor II-a|Low affinity immunoglobulin gamma Fc region receptor II-b|Low affinity immunoglobulin gamma Fc region receptor II-c|Low affinity immunoglobulin gamma Fc region receptor III-A|Low affinity immunoglobulin gamma Fc region receptor III-B,,"Aerosolized pooled immune globulin|Human gammaglobulin|Human IGG|Human immunoglobulin G|Human normal immunoglobulin|Immune globulin (human)|Immune globulin human|Immunoglobulin (human)|Immunoglobulin G (human)|Immunoglobulin G, human|Intravenous immune globulin (human)|Intravenous immunoglobulin (IVIg)"
,Anistreplase,,,,,
,Phylloquinone,,,,,
,Calcium,,,,,
DB00029,Anistreplase,biotech,approved,Fibrinogen alpha chain|Plasminogen|Plasminogen activator inhibitor 1,Anistreplase Action Pathway,Anisoylated plasminogen streptokinase activator complex|Anistreplase|APSAC
DB00030,Insulin human,biotech,approved|investigational,Carboxypeptidase E|Insulin receptor|Insulin-like growth factor 1 receptor|Insulin-like growth factor-binding protein 7|Low-density lipoprotein receptor-related protein 2|Protein NOV homolog,,"High molecular weight insulin human|Human insulin|human insulin (rDNA)|Insulin (human)|Insulin human|Insulin human [rDNA origin]|Insulin Human Regular|Insulin human regular (rDNA)|Insulin human, rDNA origin|Insulin recombinant human|Insulin recombinant purified human|Insulin regular|Insulin, human|Insulina regular|Neutral insulin|Regular Insulin, human|Soluble insulin"
,Tenecteplase,,,,,
,Phylloquinone,,,,,
,Calcium,,,,,
DB00031,Tenecteplase,biotech,approved,"Annexin A2|Calnexin|Calreticulin|Fibrinogen alpha chain|Keratin, type II cytoskeletal 8|Plasminogen|Plasminogen activator inhibitor 1|Plasminogen activator inhibitor 2|Prolow-density lipoprotein receptor-related protein 1|Tetranectin|Urokinase plasminogen activator surface receptor",Tenecteplase Action Pathway,Tenecteplasa|Tenecteplase|TNK-tPA
DB00032,Menotropins,biotech,approved,Follicle-stimulating hormone receptor|Lutropin-choriogonadotropic hormone receptor,,Human menopausal gonadotrophin|Menotrophin|Menotropin|Menotropina|Menotropins (FSH;LH)
DB00033,Interferon gamma-1b,biotech,approved|investigational,Interferon gamma receptor 1|Interferon gamma receptor 2,,"IFN-gamma 1b|IFN-gamma-1b|Interferon gamma 1-b|Interferon gamma-1b|Interferon gamma-1b, recombinant|Interferon gamma-2a"
DB00034,Interferon alfa-2a,biotech,approved|investigational,Interferon alpha/beta receptor 1|Interferon alpha/beta receptor 2,,"Interferon alfa-2a|Interferon alfa-2a (genetical recombination)|Interferon alfa-2a (recombinant)|Interferon alfa-2a, recombinant|Interferon alfa-2a,recombinant|Interferon alpha-2a|Interferon-alfa-2a|Recombinant human interferon alfa-2a|Recombinant human interferon-alfa-2a|rIFN-alpha-2a|SH-polypeptide-46"
DB00035,Desmopressin,small molecule,approved,Vasopressin V1a receptor|Vasopressin V1b receptor|Vasopressin V2 receptor,,1-(3-mercaptopropionic acid)-8-D-arginine-vasopressin|1-deamino-8-D-arginine vasopressin|1-desamino-8-D-arginine vasopressin|dDAVP|Desmopresina|Desmopressin|Desmopressine|Desmopressinum
DB00036,Coagulation factor VIIa Recombinant Human,biotech,approved,Coagulation factor VII|Coagulation factor X|Tissue factor|Tissue factor pathway inhibitor|Vitamin K-dependent gamma-carboxylase,,Coagulation factor VIIa|Coagulation factor VIIa (recombinant)|Coagulation factor VIIa (recombinant)-jncw|Eptacog alfa|Eptacog alfa (activated)|rFVIIa
DB00038,Oprelvekin,biotech,approved|investigational,Interleukin-11 receptor subunit alpha,,IL-11|Interleukin 11|Interleukin-11|Oprelvekin|Recombinant interleukin-11
DB00039,Palifermin,biotech,approved,Basement membrane-specific heparan sulfate proteoglycan core protein|Fibroblast growth factor receptor 1|Fibroblast growth factor receptor 2,,24-163 fibroblast growth factor 7 (human)|Palifermin|Palifermina
DB00040,Glucagon,biotech,approved,Glucagon receptor|Glucagon-like peptide 1 receptor|Glucagon-like peptide 2 receptor,,"Glucagon|Glucagon (recombinant dna origin)|Glucagon recombinant|Glucagon, human|Glucagon, porcine|Glucagone|Glucagonum"
DB00041,Aldesleukin,biotech,approved,Cytokine receptor common subunit gamma|Interleukin-2 receptor subunit alpha|Interleukin-2 receptor subunit beta,,"125-L-serine-2-133-interleukin 2 (human reduced)|Aldesleukin|Aldesleukina|ILT-101|ILT101|Interleukin-2 aldesleukin|Interleukin-2(2-133),125-ser|Recombinant human interleukin-2|Recombinant interleukin-2 human"
DB00042,Botulinum toxin type B,biotech,approved|investigational,Synaptotagmin-2|Vesicle-associated membrane protein 1|Vesicle-associated membrane protein 2,,Botulin B|Botulinum antitoxin type B|Botulinum B toxin|Botulinum neurotoxin type B precursor|Botulinum toxin type B|BTX-B|RimabotulinumtoxinB|Toxina botulínica B
DB00043,Omalizumab,biotech,approved|investigational,High affinity immunoglobulin epsilon receptor subunit alpha|High affinity immunoglobulin epsilon receptor subunit beta,,Omalizumab
DB00044,Lutropin alfa,biotech,approved,Lutropin-choriogonadotropic hormone receptor,,Lutropin alfa|Lutropin alpha|Lutropina alfa
DB00045,Lyme disease vaccine (recombinant OspA),biotech,approved|withdrawn,Toll-like receptor 2,,Lipoprotein OspA antigen recombinant|Lipoprotein outer surface a borrelia burgdorferi antigen|OspA lipoprotein
DB00046,Insulin lispro,biotech,approved,Insulin receptor|Insulin-like growth factor 1 receptor,,"Insulin lispro|Insulin lispro (genetical recombination)|Insulin lispro (rDNA origin)|Insulin lispro protamine|Insulin lispro protamine recombinant|Insulin lispro recombinant|insulin lispro-aabc|Insulin,lispro,human/rDNA|Insulin,lispro,protamine/rDNA|Insulina lispro"
DB00047,Insulin glargine,biotech,approved,Insulin receptor|Insulin-like growth factor 1 receptor,,Insulin glargine|Insulin glargine (rDNA origin)|Insulin glargine recombinant|insulin glargine-yfgn|Insulina glargina
DB00048,Collagenase clostridium histolyticum,biotech,approved|investigational,Collagen alpha-1(I) chain|Collagen alpha-1(II) chain|Collagen alpha-1(III) chain,,Clostridiopeptidase A|Clostridium histolyticum enzymes|Collagenase|Collagenase clostridium histolyticum|collagenase clostridium histolyticum-aaes
DB00049,Rasburicase,biotech,approved|investigational,Uric acid,,Rasburicasa|Rasburicase|Recombinant urate oxidase|Urate oxidase
DB00050,Cetrorelix,small molecule,approved|investigational,Gonadotropin-releasing hormone receptor|Lutropin-choriogonadotropic hormone receptor,,Cetrorelix|Cetrorelixum
DB00051,Adalimumab,biotech,approved|experimental,Tumor necrosis factor,,Adalimumab|Adalimumab (genetical recombination)|adalimumab-adaz|adalimumab-adbm|adalimumab-afzb|adalimumab-atto|adalimumab-bwwd|adalimumab-fkjp
DB00052,Somatotropin,biotech,approved|investigational,Growth hormone receptor|Prolactin receptor,,Growth hormone|Growth hormone (human)|hGH|Human growth hormone|Recombinant human growth hormone|rhGH|Somatotropin (human)|Somatotropin human|Somatotropin human growth hormone|Somatropin|Somatropin (rDNA origin)|Somatropin (recombinant DNA origin)|Somatropin [rDNA origin]|Somatropin recombinant|Somatropin(recombinant DNA origin)|Somatropina
DB00053,Imiglucerase,biotech,approved,Glucocerebroside,,Imiglucerasa|Imiglucerase
,Abciximab,,,,,
DB00054,Abciximab,biotech,approved,Integrin alpha-IIb|Integrin beta-3|Low affinity immunoglobulin gamma Fc region receptor II-a|Low affinity immunoglobulin gamma Fc region receptor II-b|Vitronectin,Abciximab Action Pathway,Abciximab|Abciximab (genetical recombination)|c7E3
DB00055,Drotrecogin alfa,biotech,approved|investigational|withdrawn,Coagulation factor V|Coagulation factor VIII|Endothelial protein C receptor|Plasma serine protease inhibitor|Plasminogen activator inhibitor 1|Platelet factor 4|Prothrombin|Serpin B6|Thrombomodulin|Vitamin K-dependent protein S,,"Activated protein C|Blood coagulation factor XIV (human)|Drotrecogin alfa (activated)|Drotrecogin alfa (activated), lyophilized|Drotrecogin alfa activated|Drotrecogin alfa, activated|Drotrecogin-alfa|Recombinant human activated protein C (rH-APC)"
DB00056,Gemtuzumab ozogamicin,biotech,approved|investigational,High affinity immunoglobulin gamma Fc receptor I|Low affinity immunoglobulin gamma Fc region receptor III-A|Low affinity immunoglobulin gamma Fc region receptor III-B|Myeloid cell surface antigen CD33,,Gemtuzumab ozogamicin
DB00057,Indium In-111 satumomab pendetide,biotech,experimental|withdrawn,Tumor-associated glycoprotein 72 (TAG-72),,Indium (111In) satumomab pendetide|Indium In 111 satumomab pendetide|Indium-111 satumomab pendetide
DB00058,Alpha-1-proteinase inhibitor,biotech,approved,Neutrophil elastase,,".Alpha.-1 protease inhibitor|.Alpha.1-proteinase inhibitor human|122320-05-2|Alfa 1-proteinase inhibitor (human)|Alfa-1-antitripsina|Alfa1 antitrypsin|Alpha 1-antitrypsin|Alpha 1-Proteinase Inhibitor|Alpha 1-proteinase inhibitor (human)|Alpha 1-proteinase inhibitor human|Alpha 1-proteinase inhibitor, human|Alpha-1 protease inhibitor|Alpha-1 proteinase inhibitor (human)|Alpha-1-antiproteinase|Alpha-1-antitrypsin|Alpha-1-proteinase Inhibitor (human)|Alpha-1-proteinase inhibitor human|Alpha-1-proteinase Inhibitor, Human|Alpha-1-proteinase inhibitor,human|Alpha1-proteinase Inhibitor|Alpha1-proteinase inhibitor (human)|Alpha1-proteinase inhibitor human|Antileukoproteinase|API|Mucus proteinase inhibitor|Protease inhibitor wap4|Recombinant secretory leucocyte protease inhibitor|Recombinant secretory leukocyte protease inhibitor|Secretory leukocyte protease inhibitor (human)|SLPI|Wap four-disulfide core domain protein 4"
DB00059,Pegaspargase,biotech,approved|investigational,L-asparagine,,Peg-asparaginase|Peg/L-asparaginase|Pegaspargasa|Pegaspargase
DB00060,Interferon beta-1a,biotech,approved|investigational,Interferon alpha/beta receptor 1|Interferon alpha/beta receptor 2,,"Interferon beta 1-a|Interferon beta 1a|Interferon beta-1a|Interferon beta-1a (recombinant human)|Interferon beta-1a (recombinant)|Interferon beta-1a,recombinant|Interferon beta, recombinant human|Interferon-beta-1a|SNG001"
DB00061,Pegademase,biotech,approved,Adenosine|Growth factor receptor-bound protein 2,,(monomethoxypolyethylene glycol succinimidyl) 11-17-adenosine deaminase|PEG-adenosine deaminase|pegADA|Pegademase|Pegademase bovine
DB00062,Albumin human,biotech,approved,Nitric oxide,,"Albumin (human)|Albumin human|Albumin, blood|Albumin, human|Albumin, human-kjda|Human albumin|Human serum albumin|Serum albumin"
,Eptifibatide,,,,,
DB00063,Eptifibatide,biotech,approved|investigational,Integrin beta-3|Voltage-dependent N-type calcium channel,Eptifibatide Action Pathway,Eptifibatida|Eptifibatide|Integrelin|Intrifiban
DB00065,Infliximab,biotech,approved,Tumor necrosis factor,,Infliximab|Infliximab (genetical recombination)|Infliximab-abda|Infliximab-axxq|Infliximab-dyyb|Infliximab-qbtx
DB00066,Follitropin,biotech,approved,Follicle-stimulating hormone receptor,,Folitropina alfa|Folitropina beta|Folitropina delta|Follicle stimulating hormone|Follitrophin alfa|Follitrophin alpha|Follitrophin beta|Follitropin alfa|Follitropin alfa/beta|Follitropin alpha|Follitropin beta|Follitropin delta|Follitropin gamma|Follotropin recombinant|FSH|FSH alpha|FSH-a|FSH-b|FSH-beta|Recombinant human follicle stimulating hormone beta|Recombinant human follicle-stimulating hormone (r-HFSH)|rFSH-alpha
DB00067,Vasopressin,small molecule,approved,Oxytocin receptor|Vasopressin V1a receptor|Vasopressin V1b receptor|Vasopressin V2 receptor,,"Vasopressin, unspecified|Vasopressina"
DB00068,Interferon beta-1b,biotech,approved,Interferon alpha/beta receptor 1|Interferon alpha/beta receptor 2,,"Interferon beta 1b (recombinant)|Interferon beta-1b|Interferon beta-1b,recombinant|Interferon-beta-1b|Recombinant interferon beta-1b"
DB00069,Interferon alfacon-1,biotech,approved|investigational,Interferon alpha/beta receptor 1|Interferon alpha/beta receptor 2,,IFN Alfacon-1|IFN-Con1|Interferon alfacon-1
DB00070,Hyaluronidase (ovine),biotech,approved|investigational,Hyaluronan|Transforming growth factor beta-1,,"Hyaluronidase (glycoprotein, sheep testis isoenzyme)|Hyaluronidase (ovine)|Hyaluronidase (sheep testis isoenzyme)|Hyaluronidase, ovine|Ovine hyaluronidase"
DB00071,Insulin pork,biotech,approved,Insulin receptor|Insulin-like growth factor 1 receptor,,"Insulin (pork)|Insulin porcine|Insulin purified porcine|Insulin purified pork|Insulin, porcine|Insulin, regular, pork|Porcine insulin"
,Trastuzumab,,,,,
DB00072,Trastuzumab,biotech,approved|investigational,Receptor tyrosine-protein kinase erbB-2,Trastuzumab Action Pathway,RHUMAB HER2|Trastuzumab|trastuzumab-anns|trastuzumab-dkst|trastuzumab-dttb|trastuzumab-pkrb|trastuzumab-qyyp
DB00073,Rituximab,biotech,approved,B-lymphocyte antigen CD20,,Rituximab|rituximab-abbs|rituximab-arrx|rituximab-pvvr
DB00074,Basiliximab,biotech,approved|investigational,Interleukin-2 receptor subunit alpha|Interleukin-2 receptor subunit beta,,Basiliximab
DB00075,Muromonab,biotech,approved|investigational,Low affinity immunoglobulin gamma Fc region receptor III-B|T-cell surface glycoprotein CD3 delta chain|T-cell surface glycoprotein CD3 epsilon chain|T-cell surface glycoprotein CD3 gamma chain|T-cell surface glycoprotein CD3 zeta chain,,Anti-CD3|Muromonab-CD3
DB00076,Digoxin Immune Fab (Ovine),biotech,approved,Digoxin,,"Digitalis antitoxin|Digoxin Immune Fab, Ovine|Digoxin-specific Antibody Fragments|Ovine digoxin immune fab"
DB00078,Ibritumomab tiuxetan,biotech,approved|investigational,B-lymphocyte antigen CD20,,Ibritumomab|Ibritumomab tiuxetan|mAb Murine (IGG1) Anti P19437 (CD20_MOUSE)
DB00080,Daptomycin,small molecule,approved|investigational,Cytoplasmic membrane,,Daptomicina|Daptomycin|Daptomycine|Daptomycinum
DB00081,Tositumomab,biotech,approved|investigational,B-lymphocyte antigen CD20|Low affinity immunoglobulin gamma Fc region receptor II-b,,Tositumomab
DB00082,Pegvisomant,biotech,approved,Growth hormone receptor,,Pegvisomant
DB00083,Botulinum toxin type A,biotech,approved|investigational,Rho-related GTP-binding protein RhoB|Synaptosomal-associated protein 25,,AbobotulinumtoxinA|Botulinum A neurotoxin|Botulinum antitoxin type A|Botulinum toxin A|Botulinum toxin type A|BTX-A|EvabotulinumtoxinA|IncobotulinumtoxinA|OnabotulinumtoxinA|Prabotulinumtoxin A|Toxina botulínica A|Toxine botulinique A
DB00085,Pancrelipase,biotech,approved|investigational,Dietary fat|Dietary protein|Dietary starch,,Pancrealipase|Pancreatic extract pancrelipase|Pancreatic protease|Pancreatin|Pancreatinum|Pancrelipase|Pancrelipase (amylase;lipase;protease)
,Streptokinase,,,,,
,Phylloquinone,,,,,
,Calcium,,,,,
DB00086,Streptokinase,biotech,approved|investigational,Plasminogen|Proteinase-activated receptor 1,Streptokinase Action Pathway,Estreptoquinasa|Streptochinasi|Streptococcal fibrinolysin|Streptokinase|Streptokinasum
DB00087,Alemtuzumab,biotech,approved|investigational,CAMPATH-1 antigen|High affinity immunoglobulin gamma Fc receptor I|Low affinity immunoglobulin gamma Fc region receptor II-a|Low affinity immunoglobulin gamma Fc region receptor II-b|Low affinity immunoglobulin gamma Fc region receptor II-c|Low affinity immunoglobulin gamma Fc region receptor III-A|Low affinity immunoglobulin gamma Fc region receptor III-B,,Alemtuzumab
DB00088,Alglucerase,biotech,approved|investigational|withdrawn,Glucocerebroside,,Alglucerase
DB00089,Capromab pendetide,biotech,approved,Glutamate carboxypeptidase 2,,(111In)-Capromab pendetide|Capromab pendetide|Indium (111In) capromab pendetide|Indium 111 Capromab Pendetide|Indium In 111 capromab pendetide
DB00090,Laronidase,biotech,approved,Iduronic acid,,alpha-L-Idosiduronase|Human Recombinant alpha-L-iduronidase|Laronidasa|Laronidase|Laronidase (genetical recombination)
DB00091,Cyclosporine,small molecule,approved|investigational|vet_approved,"Calcineurin subunit B type 2|Calcium signal-modulating cyclophilin ligand|Peptidyl-prolyl cis-trans isomerase A|Peptidyl-prolyl cis-trans isomerase F, mitochondrial",,Ciclosporin|Ciclosporina|Ciclosporine|Ciclosporinum|CsA|CyA|Cyclosporin|Cyclosporin A|Cyclosporine
DB00092,Alefacept,biotech,approved|investigational|withdrawn,Low affinity immunoglobulin gamma Fc region receptor III-A|Low affinity immunoglobulin gamma Fc region receptor III-B|T-cell surface antigen CD2,,Alefacept
DB00093,Felypressin,biotech,experimental,Vasopressin V1a receptor,,2-(L-phenylalanine)-8-L-lysinevasopressin|Felipresina|Felypressin|Felypressine|Felypressinum|PLV-2
DB00094,Urofollitropin,biotech,approved|vet_approved,Follicle-stimulating hormone receptor,,Follitropin human|Urofollitrophin|Urofollitropin
DB00095,Efalizumab,biotech,approved|investigational|withdrawn,Integrin alpha-L|Integrin alpha-X,,anti-CD11a|antiCD11 alpha|Efalizumab
DB00097,Choriogonadotropin alfa,biotech,approved,Follicle-stimulating hormone receptor|Lutropin-choriogonadotropic hormone receptor,,Choriogonadotropin alfa|Choriogonadotropin alpha|Chorionic gonadotropin (recombinant)
DB00098,Antithymocyte immunoglobulin (rabbit),biotech,approved,Integrin alpha-L|Integrin alpha-V|Integrin beta-1|Integrin beta-3|Low affinity immunoglobulin gamma Fc region receptor II-b|Major histocompatibility complex class I-related gene protein|T-cell surface glycoprotein CD1a|T-cell surface glycoprotein CD4|T-lymphocyte activation antigen CD86,,"Anti-human thymocyte immunoglobulin, rabbit|Anti-T-lymphocyte immune globulin, rabbit|Anti-thymocyte globulin (rabbit)|Anti-thymocyte globulin rabbit|Antithymocyte immunoglobulin|Lapine T-lymphocyte immune globulin|Rabbit anti-human thymocyte globulin|Rabbit anti-human thymocyte globulin (rATG)|Rabbit anti-human thymocyte immunoglobulin|Rabbit anti-thymocyte immunoglobulin|Rabbit antithymocyte globulin|Rabbit ATG|rATG|Thymoglobulin|Thymoglobuline"
DB00099,Filgrastim,biotech,approved,Granulocyte colony-stimulating factor receptor,,Filgrastim|Filgrastim-aafi|Filgrastim-sndz|G-CSF|Granulocyte Colony Stimulating Factor|Tbo-filgrastim
DB00100,Coagulation Factor IX (Recombinant),biotech,approved|investigational,Coagulation factor VII|Coagulation factor VIII|Coagulation factor X|Coagulation factor XI|Prolow-density lipoprotein receptor-related protein 1|Prothrombin|Vitamin K-dependent gamma-carboxylase,,"Coagulation factor IX (recombinant)|Coagulation factor IX recombinant human|Coagulation factor IX, recombinant|Factor IX (Recombinant)|nonacog alfa|nonacog gamma|Recombinant factor IX"
DB00102,Becaplermin,biotech,approved|investigational,Alpha-2-macroglobulin|Platelet-derived growth factor receptor alpha|Platelet-derived growth factor receptor beta,,"Becaplermin|PDGF-2|PDGF-BB|PDGFB|Platelet-derived growth factor BB, recombinant|Platelet-derived growth factor beta polypeptide|Recombinant platelet-derived growth factor BB|rhPDGF-BB|rPDGF-BB|SH-POLYPEPTIDE-59"
DB00103,Agalsidase beta,biotech,approved|investigational,Globotriaosylceramide,,Agalsidasa beta|Agalsidase beta|Agalsidase beta (genetical recombination)
DB00104,Octreotide,biotech,approved|investigational,Somatostatin receptor,,Octreotida|Octreotide|Octreotidum|Octrotide
DB00105,Interferon alfa-2b,biotech,approved,Interferon alpha/beta receptor 1|Interferon alpha/beta receptor 2,,"Interferon alfa-2b|Interferon alfa-2b (recombinant)|Interferon alfa-2b, recombinant|Interferon alpha-2B|Interferon α-2b|Intron (Interferon α2b)|Intron A|Intron A (Interferon α2b)|r-INF-alpha|rIFN-alpha-2b"
DB00106,Abarelix,small molecule,approved|investigational|withdrawn,Gonadotropin-releasing hormone receptor,,Abarelix
DB00107,Oxytocin,biotech,approved|vet_approved,Oxytocin receptor,,Oxitocina|Oxytocin
